region,mean_z_score,sem_z_score,std_z_score,t_statistic,p_value,p_fdr_corrected,significant_fdr,cohens_d,n_subjects
Lingual Gyrus,0.03020594964054087,0.04768640352479333,0.2567991420405318,0.6334289736242336,0.5315939377938428,0.7235584153305082,False,0.11762480746829491,29
"Superior Temporal Gyrus, posterior division",-0.024811786792253297,0.03722903843801796,0.20048450759987202,-0.666463272575843,0.5105696415781749,0.7235584153305082,False,-0.12375912278355584,29
Middle Frontal Gyrus,0.04304417393455938,0.057348344050867334,0.30883028413017216,0.7505739641999023,0.4591706373778226,0.7235584153305082,False,0.13937808610899127,29
"Inferior Frontal Gyrus, pars triangularis",0.03241513944829901,0.048220800613939185,0.2596769584380352,0.6722231699929256,0.50695125951949,0.7235584153305082,False,0.12482870888228614,29
"Middle Temporal Gyrus, anterior division",-0.02866459709250669,0.0475860110586309,0.25625851206485245,-0.6023744469186318,0.5517724715961838,0.7255235435236573,False,-0.11185812662976993,29
Heschl's Gyrus (includes H1 and H2),0.03120012360139891,0.053253643482867416,0.28677964673562534,0.585877727059868,0.5626509113040608,0.7255235435236573,False,0.10879476265678466,29
"Middle Temporal Gyrus, temporooccipital part",0.022101932450711046,0.04267560189190625,0.2298151494315762,0.5179055823674943,0.6085924201746487,0.7646417586809688,False,0.09617265226151483,29
"Cingulate Gyrus, anterior division",0.014259146253211823,0.04200994740683369,0.2262304903248522,0.3394230922291588,0.7368237912832711,0.9026091443220071,False,0.06302928589659432,29
Planum Polare,0.010879180669941686,0.04039440417804822,0.2175305237847922,0.2693239544266834,0.7896552044412409,0.9437342687224586,False,0.050012202796443875,29
Cuneal Cortex,0.012402439379264165,0.05889256105180624,0.31714614717820716,0.2105943290249182,0.834728924840005,0.9738504123133392,False,0.03910638514645151,29
Frontal Medial Cortex,0.008599789869415791,0.04777985152440044,0.2573023749193131,0.17998778972814533,0.858458450600849,0.9782433506846885,False,0.03342289348130805,29
Superior Frontal Gyrus,0.008275718444670122,0.05535273894910185,0.2980836217672066,0.14950874341159234,0.882223920887414,0.9824766391700747,False,0.027763076668241713,29
Temporal Pole,0.0018947263205314336,0.04080720137512885,0.21975350472299462,0.04643117529952031,0.9632961736919095,0.9966725825744576,False,0.0086220527992024,29
"Inferior Temporal Gyrus, posterior division",-0.0013233598759318482,0.046425891540478846,0.25001107726363014,-0.02850478110426824,0.9774617570152994,0.9966725825744576,False,-0.005293204966819929,29
Insular Cortex,-0.0028167114762364543,0.0417126023140624,0.22462923799568613,-0.06752663032214769,0.9466423593758726,0.9966725825744576,False,-0.01253938045362798,29
"Inferior Temporal Gyrus, anterior division",-0.00015868463164655204,0.03771286351448393,0.2030899853744657,-0.004207705723157509,0.9966725825744576,0.9966725825744576,False,-0.0007813513372112502,29
Temporal Occipital Fusiform Cortex,0.0016577965254136655,0.0481113442168536,0.2590875177005341,0.03445749754863288,0.9727568082442419,0.9966725825744576,False,0.006398596660028319,29
